sample_id,model,x3_FilterCutoff,x24_Osc2Waveform,x20_Osc2Tune,x26_Lfo1Waveform,x28_Lfo1Rate,x30_Lfo1Amount,x27_Lfo2Waveform,x29_Lfo2Rate,x31_Lfo2Amount
100767,Flow,0.393333333,0.5,0.75,0.0,0.06,0.968,0,0.0,0.5
100767,GT,0.393333333,0.5,0.75,0.2,0.204,0.968,0,0.0,0.5
100767,IS,0.393333333,0.5,0.75,0.4,0.204,0.936,0,0.0,0.5
100767,IS2,0.393333333,0.5,0.75,0.2,0.204,0.968,0,0.0,0.5
100767,IS2xITF,0.393333333,0.5,0.75,0.2,0.168,0.968,0,0.0,0.5
101550,Flow,0.86,0.75,0.25,0.0,0.06,0.904,0,0.0,0.5
101550,GT,0.86,0.75,0.25,0.2,0.132,0.968,0,0.0,0.5
101550,IS,0.86,0.75,0.25,0.4,0.132,0.968,0,0.0,0.5
101550,IS2,0.86,0.75,0.25,0.2,0.132,0.968,0,0.0,0.5
101550,IS2xITF,0.86,0.75,0.25,0.2,0.492,0.968,0,0.0,0.5
101895,Flow,0.673333333,0.25,0.625,0.0,0.276,0.872,0,0.0,0.5
101895,GT,0.673333333,0.25,0.625,0.2,0.276,0.872,0,0.0,0.5
101895,IS,0.626666667,0.25,0.625,0.2,0.276,0.872,0,0.0,0.5
101895,IS2,0.673333333,0.25,0.625,0.2,0.276,0.872,0,0.0,0.5
101895,IS2xITF,0.626666667,0.25,0.625,0.2,0.276,0.872,0,0.0,0.5
102075,Flow,0.346666667,0.5,0.625,0.0,0.456,0.968,0,0.0,0.5
102075,GT,0.346666667,0.5,0.625,0.0,0.456,1.0,0,0.0,0.5
102075,IS,0.346666667,0.75,0.5,0.0,0.456,1.0,0,0.0,0.5
102075,IS2,0.346666667,0.5,0.625,0.0,0.456,1.0,0,0.0,0.5
102075,IS2xITF,0.346666667,0.5,0.625,0.2,0.456,1.0,0,0.0,0.5
102413,Flow,0.486666667,0.75,0.125,0.0,0.528,0.68,0,0.0,0.5
102413,GT,0.533333333,0.75,0.125,0.2,0.528,0.68,0,0.0,0.5
102413,IS,0.393333333,0.75,0.125,0.2,0.528,0.68,0,0.0,0.5
102413,IS2,0.533333333,0.75,0.125,0.2,0.528,0.68,0,0.0,0.5
102413,IS2xITF,0.393333333,0.75,0.125,0.2,0.528,0.68,0,0.0,0.5
104109,Flow,0.953333333,0.25,0.875,0.0,0.312,0.904,0,0.0,0.5
104109,GT,1.0,0.25,0.875,0.0,0.312,0.904,0,0.0,0.5
104109,IS,0.86,0.25,0.875,0.2,0.312,0.904,0,0.0,0.5
104109,IS2,1.0,0.25,0.875,0.0,0.312,0.904,0,0.0,0.5
104109,IS2xITF,0.86,0.25,0.875,0.0,0.312,0.904,0,0.0,0.5
104658,Flow,0.3,0.25,0.5,0.0,0.456,0.968,0,0.0,0.5
104658,GT,0.3,0.25,0.5,0.2,0.456,0.968,0,0.0,0.5
104658,IS,0.346666667,0.25,0.5,0.2,0.456,0.968,0,0.0,0.5
104658,IS2,0.3,0.25,0.5,0.2,0.456,0.968,0,0.0,0.5
104658,IS2xITF,0.3,0.25,0.5,0.2,0.456,0.936,0,0.0,0.5
104707,Flow,0.58,0.75,0.875,0.0,0.0,0.52,0,0.0,0.5
104707,GT,0.58,0.75,0.875,0.2,0.528,0.52,0,0.0,0.5
104707,IS,0.58,0.75,0.875,0.2,0.492,0.52,0,0.0,0.5
104707,IS2,0.58,0.75,0.875,0.2,0.528,0.52,0,0.0,0.5
104707,IS2xITF,0.58,0.75,0.875,0.2,0.204,0.52,0,0.0,0.5
107900,Flow,0.813333333,0.5,0.25,0.6,0.492,0.808,0,0.0,0.5
107900,GT,0.86,0.5,0.25,0.6,0.492,0.808,0,0.0,0.5
107900,IS,0.766666667,0.5,0.25,0.6,0.492,0.808,0,0.0,0.5
107900,IS2,0.86,0.5,0.25,0.6,0.492,0.808,0,0.0,0.5
107900,IS2xITF,0.813333333,0.5,0.25,0.6,0.492,0.808,0,0.0,0.5
108586,Flow,0.626666667,0.0,0.875,0.0,0.06,0.904,0,0.0,0.5
108586,GT,0.626666667,0.0,0.875,0.2,0.06,0.904,0,0.0,0.5
108586,IS,0.58,0.0,0.875,0.2,0.06,0.84,0,0.0,0.5
108586,IS2,0.626666667,0.0,0.875,0.2,0.06,0.904,0,0.0,0.5
108586,IS2xITF,0.58,0.0,0.875,0.2,0.06,0.904,0,0.0,0.5
109011,Flow,0.813333333,0.25,0.5,0.0,0.384,0.936,0,0.0,0.5
109011,GT,0.813333333,0.25,0.5,0.2,0.384,0.936,0,0.0,0.5
109011,IS,0.906666667,0.25,0.5,0.2,0.384,0.936,0,0.0,0.5
109011,IS2,0.813333333,0.25,0.5,0.2,0.384,0.936,0,0.0,0.5
109011,IS2xITF,0.906666667,0.25,0.5,0.2,0.384,0.936,0,0.0,0.5
109516,Flow,0.533333333,0.5,0.75,0.4,0.06,0.968,0,0.0,0.5
109516,GT,0.533333333,0.5,0.75,0.4,0.24,1.0,0,0.0,0.5
109516,IS,0.58,0.5,0.75,0.4,0.24,1.0,0,0.0,0.5
109516,IS2,0.533333333,0.5,0.75,0.4,0.24,1.0,0,0.0,0.5
109516,IS2xITF,0.58,0.5,0.75,0.4,0.204,1.0,0,0.0,0.5
